"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"97","Libya","LBY",0.282,0.186,0.17,0.27,0.248,0.2312,0.5,1,0.33333333,NA,NA,NA,0.40277779,7.3,91.38887,"0.191",0.191860465116279,NA,"4102.8398",403.412906666
"98","Liechtenstein","LIE",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,12.4,99,"0.91",NA,NA,"102243.52",NA
"99","Lithuania","LTU",0.838,0.781,0.637,0.746,0.738,0.748,1,0,1,0,NA,4.3,0.625,13,99.82328,"0.767",0.916666666666667,NA,"17559.75",403.5496
"100","Luxembourg","LUX",0.896,0.813,0.498,0.84,0.845,0.7784,1,0,1,10,48.3,NA,0.94444442,12,99,"0.765",0.928294573643411,NA,"61404.48",403.55568
"101","Madagascar","MDG",0.446,0.252,0.245,0.258,0.221,0.2844,0.8,0.5,0.6916667,NA,NA,NA,0.33333334,6.1,69.7303115,"0.269",0.594961240310077,NA,"822.62",403.45521334
"102","Malawi","MWI",0.592,0.464,0.381,0.471,0.334,0.4484,0.8,0.5,0.7333333,NA,NA,NA,0.45833334,4.4,65.963829,"0.467",0.569767441860465,NA,"938.34998",403.49634666
"103","Malaysia","MYS",0.303,0.177,0.227,0.247,0.244,0.2396,0.75,0.5,0.625,NA,NA,1.97,0.6111111,10.2,94.7457015,"0.211",0.59108527131783,NA,"12284.27",403.42292
"104","Maldives","MDV",0.394,0.19,0.237,0.241,0.244,0.2612,NA,0.5,0.45072875,NA,NA,NA,NA,6.3,99.321022,"0.185",NA,NA,"13349.76",NA
"105","Mali","MLI",0.56,0.375,0.323,0.465,0.395,0.4236,0.75,0.5,0.5833333,NA,NA,NA,0.27777779,2.3,34.2713205,"0.366",0.422480620155039,NA,"1063.26",403.45138666
"106","Malta","MLT",0.774,0.589,0.589,0.635,0.648,0.647,NA,0,1,0,NA,NA,0.72222221,11.2,94.284901,"0.565",0.920542635658915,NA,"24094.641",NA
"107","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,10.8,98.265083,"0.92",NA,NA,"2833.97",NA
"108","Mauritania","MRT",0.457,0.161,0.195,0.273,0.167,0.2506,0.4,1,0.325,NA,NA,NA,NA,4.3,52.123562,"0.177",0.319767441860465,NA,"2223.01",403.39512
"109","Mauritius","MUS",0.836,0.717,0.531,0.75,0.676,0.702,1,0,0.9583334,NA,NA,NA,NA,9.1,90.9707165,"0.712",0.788759689922481,NA,"10944.54",403.53206668
"110","Mexico","MEX",0.649,0.429,0.408,0.511,0.36,0.4714,0.9,0.5,0.7833333,NA,NA,5.93,0.375,8.6,94.9627515,"0.465",0.643410852713178,NA,"13609.42",403.53094666
"111","Micronesia","FSM",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,8,93.9,"0.93",NA,NA,"2624.05",NA
"112","Moldova","MDA",0.579,0.477,0.408,0.425,0.438,0.4654,0.95,0.5,0.8083333,NA,NA,6,0.41666669,11.6,99.244392,"0.47",0.641472868217054,NA,"4207.8701",403.54474666
"113","Monaco","MCO",NA,NA,NA,NA,NA,NA,NA,0,0.94134331,NA,NA,NA,NA,NA,99,"0.84",NA,NA,"108481.13",NA
"114","Mongolia","MNG",0.656,0.514,0.386,0.549,0.514,0.5238,1,0,0.9583334,NA,NA,NA,0.5,10.1,98.395379,"0.493",0.76937984496124,NA,"6277.8999",403.49642668
"115","Montenegro","MNE",0.46,0.391,0.315,0.352,0.362,0.376,0.95,0.5,0.8083333,NA,NA,-6.51,NA,11.3,98.783564,"0.379",0.744186046511628,NA,"14538.52",403.52686666
"116","Morocco","MAR",0.294,0.243,0.213,0.29,0.199,0.2478,0.3,0.5,0.35833333,NA,NA,NA,0.55555558,5,72.730279,"0.261",0.476744186046512,NA,"3999.5601",403.281226666
"117","Mozambique","MOZ",0.454,0.296,0.282,0.323,0.289,0.3288,0.75,0.5,0.625,NA,NA,NA,0.3611111,3.5,58.836552,"0.319",0.517441860465116,NA,"852.39001",403.44076
"118","Myanmar","MMR",NA,NA,NA,NA,NA,NA,0.6,1,0.425,NA,NA,NA,0.33333334,4.9,93.09005,"0.176",0.337209302325581,NA,"5733.3701",NA
"119","Namibia","NAM",0.731,0.602,0.482,0.589,0.482,0.5772,0.8,0,0.8166666,NA,NA,NA,0.6111111,6.7,91.1738865,"0.57",0.64922480620155,NA,"4521.29",403.43877332
"120","Nauru","NRU",NA,NA,NA,NA,NA,NA,NA,0,0.85957413,NA,NA,NA,NA,NA,95.62198,"0.77",NA,NA,"3130.47",NA
"121","Nepal","NPL",0.579,0.462,0.324,0.401,0.407,0.4346,0.8,0.5,0.6916667,NA,NA,NA,NA,4.7,66.2860365,"0.49",0.643410852713178,NA,"1462.08",403.48525334
"122","Netherlands","NLD",0.883,0.827,0.616,0.837,0.803,0.7932,1,0,1,2.7,56.6,3.06,0.94444442,12.1,99,"0.849",0.941860465116279,NA,"42258.352",403.55864
"123","New Zealand","NZL",0.888,0.829,0.705,0.744,0.788,0.7908,1,0,1,11.6,NA,NA,0.94444448,12.4,99,"0.827",1,NA,"26481.369",403.55816
"124","Nicaragua","NIC",0.358,0.135,0.21,0.163,0.214,0.216,0.95,0.5,0.7666667,NA,NA,NA,0.3611111,6.5,82.471848,"0.141",0.589147286821705,NA,"2527.1001",403.48653334
"125","Niger","NER",0.624,0.493,0.449,0.564,0.438,0.5136,0.8,0.5,0.6916667,NA,NA,NA,0.31944445,1.8,27.0763,"0.488",0.410852713178294,NA,"644.53998",403.50105334
"126","Nigeria","NGA",0.594,0.424,0.395,0.482,0.35,0.449,0.85,0.5,0.6333333,NA,NA,NA,0.27777779,6,60.7920455,"0.421",0.439922480620155,NA,"2246.8201",403.48646666
"127","North Korea","PRK",0.1,0.014,0.024,0.012,0.087,0.0474,0,1,0,NA,NA,NA,0.30555555,NA,96.52701,"0.011",NA,NA,"1727.8199",403.20948
"128","North Macedonia","MKD",0.464,0.276,0.31,0.234,0.323,0.3214,0.95,0.5,0.7666667,NA,NA,NA,NA,9.6,97.843758,"0.302",0.693798449612403,NA,"9610.5996",403.50761334
"129","Norway","NOR",0.882,0.844,0.629,0.855,0.837,0.8094,1,0,1,0.60000002,42.8,2.72,0.97222221,12.5,99,"0.861",0.906976744186046,NA,"57634.77",403.56188
"130","Oman","OMN",0.174,0.125,0.119,0.085,0.183,0.1372,0.1,1,0.175,NA,NA,NA,0.6111111,9.5,94.8115895,"0.126",0.459302325581395,NA,"26158.73",403.28244
"131","Pakistan","PAK",0.482,0.298,0.29,0.332,0.16,0.3124,0.85,0.5,0.6333333,NA,NA,NA,0.44444445,5.1,56.440311,"0.286",0.364341085271318,NA,"2855.55",403.45914666
"132","Palau","PLW",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,12.2,99.523972,"0.92",NA,NA,"9392.5996",NA
"133","Panama","PAN",0.791,0.591,0.524,0.639,0.579,0.6248,0.95,0,0.8916666,NA,NA,NA,0.44444445,9.9,95.2250205,"0.611",0.800387596899225,NA,"15137.04",403.49329332
"134","Papua New Guinea","PNG",0.471,0.366,0.272,0.281,0.237,0.3254,0.75,0.5,0.6666667,NA,NA,NA,0.44444445,4.3,63.433491,"0.318",0.59108527131783,NA,"1693.54",403.44841334
"135","Paraguay","PRY",0.601,0.419,0.395,0.323,0.256,0.3988,0.95,0.5,0.8083333,NA,NA,NA,0.30555555,8.5,94.778455,"0.433",0.64922480620155,NA,"4812.9199",403.53142666
"136","Peru","PER",0.767,0.623,0.546,0.592,0.455,0.5966,0.95,0,0.85,NA,NA,8.37,0.44444445,9.1,94.391311,"0.629",0.777131782945736,NA,"9227.1504",403.47932
"137","Philippines","PHL",0.586,0.469,0.405,0.534,0.31,0.4608,0.9,0.5,0.7833333,NA,NA,NA,0.52777779,9.3,96.618027,"0.462",0.664728682170543,NA,"3953.1001",403.52882666
"138","Poland","POL",0.866,0.787,0.621,0.708,0.775,0.7514,1,0,1,0,42.3,6.52,0.69444442,12.1,99.787422,"0.8",0.858527131782946,NA,"19990.939",403.55028
"139","Portugal","PRT",0.868,0.8,0.625,0.791,0.767,0.7702,1,0,1,0,NA,6.43,0.75,9.1,95.782849,"0.811",0.89922480620155,NA,"23744.631",403.55404
"140","Qatar","QAT",0.087,0.09,0.026,0.104,0.116,0.0846,0,1,0.125,NA,NA,NA,0.66666669,9.8,97.757088,"0.1",0.5,NA,"104049.44",403.24192
"141","Republic of the Congo","COG",0.254,0.099,0.135,0.197,0.104,0.1578,0.3,1,0.275,NA,NA,NA,0.27777779,6.3,79.804966,"0.104",0.354651162790698,NA,"2369.8401",403.34656
"142","Romania","ROU",0.708,0.578,0.498,0.561,0.56,0.581,0.95,0,0.8916666,0,NA,2.98,0.41666666,10.9,98.8007635,"0.595",0.877906976744186,NA,"14563.14",403.48453332
"143","Russia","RUS",0.267,0.127,0.13,0.143,0.215,0.1764,0.7,1,0.43333335,NA,NA,1.46,0.33333334,12,99.724813,"0.121",0.467054263565891,2.5,"19063.689",403.46194667
"144","Rwanda","RWA",0.275,0.166,0.218,0.143,0.24,0.2084,0.35,1,0.25833333,NA,NA,NA,NA,4,72.229545,"0.177",0.65891472868217,NA,"1440.39",403.363346666
"145","Samoa","WSM",NA,NA,NA,NA,NA,NA,NA,0,0.85957413,NA,NA,NA,NA,10.3,99.0553885,"0.8",NA,NA,"3167.75",NA
"146","San Marino","SMR",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,99.91643,"0.97",NA,NA,"42664.211",NA
"147","Sao Tome and Principe","STP",0.76,0.661,0.465,0.644,0.547,0.6154,NA,0,0.85957413,NA,NA,NA,NA,5.6,92.281874,"0.621",NA,NA,"2150.55",NA
"148","Saudi Arabia","SAU",0.022,0.037,0.03,0.052,0.115,0.0512,0,1,0,NA,NA,NA,0.6111111,9.5,94.842369,"0.038",0.27906976744186,NA,"20872.711",403.21024
"149","Senegal","SEN",0.645,0.549,0.278,0.546,0.512,0.506,0.85,0,0.8416666,NA,NA,NA,0.36574075,2.9,55.624851,"0.602",0.498062015503876,NA,"1527.99",403.43953332
"150","Serbia","SRB",0.483,0.345,0.327,0.329,0.349,0.3666,0.9,0,0.8666666,NA,NA,-8.33,0.47222221,11,98.002892,"0.343",0.709302325581395,NA,"11343.92",403.42665332
"151","Seychelles","SYC",0.456,0.382,0.176,0.369,0.366,0.3498,NA,0.5,0.69603601,NA,NA,NA,NA,9.5,95.5943965,"0.4",0.755813953488372,NA,"9583.3203",NA
"152","Sierra Leone","SLE",0.498,0.304,0.343,0.391,0.29,0.3652,0.85,0.5,0.7583333,NA,NA,NA,0.30555555,3.4,45.819115,"0.332",0.50968992248062,NA,"979.95001",403.49470666
"153","Singapore","SGP",0.397,0.315,0.101,0.368,0.333,0.3028,0.4,0.5,0.45,NA,61,NA,0.8611111,11.5,97.059744,"0.325",0.872093023255814,NA,"54268.148",403.33056
"154","Slovakia","SVK",0.854,0.72,0.665,0.643,0.7,0.7164,1,0,1,0,NA,6.97,0.6388889,12.5,99,"0.751",0.844961240310078,NA,"21776.34",403.54328
"155","Slovenia","SVN",0.869,0.79,0.711,0.777,0.777,0.7848,1,0,1,0,53.9,2.38,0.69444442,12,99.71476,"0.786",0.852713178294574,NA,"24456.561",403.55696
"156","Solomon Islands","SLB",0.566,0.438,0.338,0.364,0.369,0.415,0.9,0.5,0.7833333,NA,NA,NA,NA,5.4,95.62198,"0.443",NA,NA,"2113.0601",403.51966666
"157","Somalia","SOM",0.171,0.128,0.121,0.12,0.068,0.1216,0.75,1,0.375,NA,NA,NA,0.083333336,NA,65.23965,"0.13",NA,NA,"1436.74",403.44932
"158","South Africa","ZAF",0.713,0.602,0.451,0.608,0.453,0.5654,0.95,0,0.8916666,NA,NA,-1.38,0.41666666,10.1,94.597939,"0.594",0.678294573643411,1.5,"8820.0596",403.48141332
"159","South Korea","KOR",0.712,0.609,0.466,0.604,0.585,0.5952,0.9,0,0.8666666,NA,59,4.73,0.69444442,12.1,95.80694,"0.569",0.868217054263566,4,"33181.891",403.47237332
"160","South Sudan","SSD",0.182,0.06,0.109,0.048,0.043,0.0884,0.5,1,0.29166667,NA,NA,NA,NA,4.8,33.249505,"0.073",NA,NA,"1516.4",403.376013334
"161","Spain","ESP",0.873,0.79,0.621,0.783,0.787,0.7708,1,0,1,0,NA,1.48,0.72222221,9.7,98.275505,"0.743",0.881782945736434,NA,"31086.35",403.55416
"162","Sri Lanka","LKA",0.519,0.349,0.34,0.379,0.343,0.386,0.8,0.5,0.65,NA,NA,NA,0.49537036,10.9,92.161993,"0.362",0.544573643410853,NA,"5466.8701",403.4672
"163","St Kitts and Nevis","KNA",NA,NA,NA,NA,NA,NA,NA,0,0.94134331,NA,NA,NA,NA,8.4,93.86869,"0.89",NA,NA,"11237.75",NA
"164","St Lucia","LCA",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,8.9,93.86869,"0.92",NA,NA,"11095.8",NA
"165","St Vincent and the Grenadines","VCT",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,8.6,84.47694,"0.91",NA,NA,"7454.8799",NA
"166","Sudan","SDN",0.245,0.071,0.101,0.067,0.065,0.1098,0.3,NA,NA,NA,NA,NA,0.25,3.6,59.649249,"0.082",NA,NA,"2616.6899",NA
"167","Suriname","SUR",0.801,0.667,0.53,0.616,0.597,0.6422,0.75,0,0.75,NA,NA,NA,0.44444445,8.4,94.961128,"0.669",0.705426356589147,NA,"6049.1499",403.42844
"168","Sweden","SWE",0.898,0.856,0.631,0.855,0.825,0.813,1,0,1,7.1999998,48.1,-0.27,0.97222221,12.4,99,"0.869",0.951550387596899,NA,"39000.91",403.5626
"169","Switzerland","CHE",0.888,0.852,0.783,0.844,0.806,0.8346,1,0,1,9,52.7,-0.93,0.8888889,13.4,99,"0.877",0.986434108527132,NA,"50454.41",403.56692
"170","Syria","SYR",0.142,0.028,0.056,0.022,0.061,0.0618,0.05,1,0.025,NA,NA,NA,0.43055555,5.1,86.303932,"0.031",0,NA,"4284.4199",403.22736
"171","Taiwan","TWN",0.84,0.697,0.633,0.674,0.73,0.7148,1,0,0.9583334,NA,58,NA,0.69444442,NA,98.4,"0.667",0.901162790697674,NA,"33965.871",403.53462668
"172","Tajikistan","TJK",0.19,0.056,0.053,0.051,0.106,0.0912,0.35,1,0.21666667,NA,NA,-1.96,NA,10.5,99.781052,"0.055",0.436046511627907,NA,"3592.6499",403.331573334
"173","Tanzania","TZA",0.524,0.432,0.268,0.41,0.374,0.4016,0.65,0.5,0.6166667,NA,NA,NA,0.47222221,5.8,80.359497,"0.454",0.560077519379845,NA,"1416.3",403.43365334
"174","Thailand","THA",0.15,0.116,0.082,0.032,0.144,0.1048,0.35,1,0.3,NA,NA,4.39,0.41666666,7.6,93.8753885,"0.099",0.52906976744186,NA,"9295.5703",403.35096
"175","Timor-Leste","TLS",0.667,0.484,0.355,0.44,0.39,0.4672,0.9,0.5,0.7833333,NA,NA,NA,NA,4.5,66.0664845,"0.449",0.563953488372093,NA,"1957.8101",403.53010666
"176","Togo","TGO",0.503,0.245,0.206,0.394,0.372,0.344,0.4,0.5,0.45,NA,NA,NA,0.27777779,4.7,66.53759,"0.259",0.48062015503876,NA,"1036.28",403.3388
"177","Tonga","TON",NA,NA,NA,NA,NA,NA,NA,0,0.85957413,NA,NA,NA,NA,11.2,99.406114,NA,NA,NA,"3962.0601",NA
"178","Trinidad and Tobago","TTO",0.733,0.622,0.467,0.61,0.587,0.6038,1,0,0.9166666,NA,NA,NA,0.47222224,10.8,98.969582,"0.622",0.62015503875969,NA,"22089.16",403.50409332
"179","Tunisia","TUN",0.73,0.638,0.382,0.67,0.575,0.599,0.85,0,0.8416666,NA,NA,4.69,0.58333331,7,81.054192,"0.604",0.50968992248062,NA,"6912.2798",403.45813332
"180","Turkey","TUR",0.434,0.261,0.265,0.202,0.259,0.2842,0.65,0.5,0.6166667,NA,NA,3.33,0.47222221,7.8,95.688103,"0.273",0.608527131782946,3,"16900.711",403.41017334
"181","Turkmenistan","TKM",0.149,0.031,0.032,0.036,0.08,0.0656,0.1,1,0.05,NA,NA,NA,NA,9.8,99.692932,"0.038",NA,NA,"13217.39",403.24312
"182","Tuvalu","TUV",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,84.47694,"0.94",NA,NA,"3174.05",NA
"183","Uganda","UGA",0.341,0.256,0.263,0.276,0.217,0.2706,0.45,1,0.35,NA,NA,NA,0.44444445,5.7,75.1686685,"0.273",0.567829457364341,NA,"1343.45",403.41412
"184","Ukraine","UKR",0.418,0.23,0.31,0.331,0.288,0.3154,0.7,0.5,0.6833333,NA,NA,0.5,0.3888889,11.3,99.764107,"0.22",0.441860465116279,NA,"9326.7197",403.43974666
"185","United Arab Emirates","ARE",0.095,0.098,0.035,0.126,0.15,0.1008,0.1,1,0.13333333,NA,NA,NA,0.69444448,10.6,92.986366,"0.1",0.484496124031008,NA,"20310.109",403.266826666
"186","United Kingdom","GBR",0.863,0.786,0.63,0.754,0.694,0.7454,1,0,1,0.2,43.5,-0.74,0.8888889,12.8,99,"0.783",0.945736434108527,6,"34791.051",403.54908
"187","United States","USA",0.89,0.824,0.64,0.813,0.687,0.7708,1,0,1,0,34.6,NA,0.8611111,13.3,99,"0.838",0.939922480620155,5,"47769.699",403.55416
"188","Uruguay","URY",0.865,0.788,0.723,0.788,0.756,0.784,1,0,1,NA,NA,12.74,0.55555558,8.7,98.5729805,"0.77",0.817829457364341,NA,"12804.84",403.5568
"189","Uzbekistan","UZB",0.178,0.042,0.041,0.05,0.129,0.088,0.05,1,0.025,NA,NA,NA,NA,11.4,99.9940415,"0.039",NA,NA,"7370.7202",403.2326
"190","Vanuatu","VUT",0.73,0.648,0.455,0.588,0.593,0.6028,NA,0,0.85957413,NA,NA,NA,NA,6.8,86.282494,"0.61",NA,NA,"2877.01",NA
"191","Venezuela","VEN",0.334,0.114,0.208,0.083,0.238,0.1954,0.7,0.5,0.51666665,NA,NA,4.75,0.19444445,10.1,95.399246,"0.126",0.0872093023255813,NA,"10513.96",403.38241333
"192","Vietnam","VNM",0.213,0.145,0.185,0.204,0.21,0.1914,0.15,1,0.15833333,NA,NA,NA,0.52777779,8,94.7573235,"0.189",0.457364341085271,NA,"4147.5698",403.299946666
"193","Yemen","YEM",0.179,0.058,0.093,0.046,0.051,0.0854,0.5,1,0.29166667,NA,NA,NA,0.25,3,69.961952,"0.064",0.162790697674419,NA,"2170.9299",403.375413334
"194","Zambia","ZMB",0.456,0.376,0.282,0.283,0.302,0.3398,0.85,0.5,0.7166667,NA,NA,NA,0.44444445,6.9,85.932612,"0.374",0.589147286821705,NA,"1916.79",403.48129334
"195","Zimbabwe","ZWE",0.297,0.199,0.203,0.174,0.154,0.2054,0.7,0.5,0.51666665,NA,NA,NA,0.34722221,8.2,86.873482,"0.199",0.449612403100775,NA,"15997.67",403.38441333
